question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,concept,difficulty,source_type,source_note
Which pigment in green plants absorbs sunlight for photosynthesis?,Chlorophyll,Xanthophyll,Carotene,Anthocyanin,A,Chlorophyll is the green pigment in chloroplasts that absorbs light energy for photosynthesis.,Nutrition,Autotrophic Nutrition,easy,textbook,NCERT Ch6
What is the overall raw material required for photosynthesis besides sunlight?,Carbon dioxide and water,Oxygen and glucose,Nitrogen and water,Oxygen and water,A,Photosynthesis uses CO2 and water in presence of sunlight and chlorophyll to make glucose and release oxygen.,Nutrition,Autotrophic Nutrition,easy,textbook,NCERT Ch6
In which part of the leaf does the exchange of gases mainly occur?,Stomata,Xylem,Phloem,Cuticle,A,"Stomata are tiny pores on the leaf surface that allow gas exchange (CO2 in, O2 out) during photosynthesis.",Nutrition,Autotrophic Nutrition,medium,textbook,NCERT Ch6
Which type of nutrition is seen in Amoeba?,Holozoic,Saprophytic,Parasitic,Autotrophic,A,"Amoeba engulfs solid food particles using pseudopodia, which is holozoic (a form of heterotrophic) nutrition.",Nutrition,Heterotrophic Nutrition,medium,textbook,NCERT Ch6
"Bile juice, secreted by the liver, helps in the digestion of which nutrient?",Fats,Proteins,Carbohydrates,Vitamins,A,"Bile emulsifies fats, breaking them into smaller globules so that pancreatic lipase can act on them more efficiently.",Nutrition,Heterotrophic Nutrition,medium,textbook,NCERT Ch6
Where does the complete digestion of food get finished and absorption largely occurs?,Small intestine,Stomach,Large intestine,Esophagus,A,"The small intestine is the site of complete digestion (using intestinal, pancreatic secretions and bile) and the main site of nutrient absorption via villi.",Nutrition,Heterotrophic Nutrition,easy,textbook,NCERT Ch6
Which enzyme present in saliva begins the digestion of starch in the mouth?,Salivary amylase,Pepsin,Trypsin,Lipase,A,Salivary amylase breaks down starch into simpler sugars in the mouth itself.,Nutrition,Heterotrophic Nutrition,easy,textbook,NCERT Ch6
What is the end product of anaerobic respiration in yeast?,Ethanol and carbon dioxide,Lactic acid,Carbon dioxide and water,Glucose,A,Yeast breaks down glucose anaerobically into ethanol and CO2 through fermentation.,Respiration,Anaerobic Respiration,medium,textbook,NCERT Ch6
"During vigorous exercise, muscle cells in humans often respire anaerobically, producing:",Lactic acid,Ethanol,Carbon dioxide only,Water only,A,"When oxygen supply is insufficient, muscle cells convert glucose to lactic acid, causing cramps.",Respiration,Anaerobic Respiration,medium,textbook,NCERT Ch6
Which of these releases the maximum amount of energy from one glucose molecule?,Aerobic respiration,Anaerobic respiration in yeast,Anaerobic respiration in muscles,Fermentation,A,"Aerobic respiration fully oxidizes glucose using oxygen, releasing far more ATP than anaerobic pathways.",Respiration,Aerobic Respiration,medium,textbook,NCERT Ch6
"In human beings, gaseous exchange takes place in the:",Alveoli,Trachea,Bronchi,Larynx,A,"Alveoli are tiny thin-walled air sacs in the lungs surrounded by capillaries, where O2 and CO2 are exchanged with blood.",Respiration,Breathing,easy,textbook,NCERT Ch6
Which respiratory pigment in human blood transports oxygen?,Haemoglobin,Myoglobin,Chlorophyll,Melanin,A,Haemoglobin present in RBCs binds oxygen in the lungs and carries it to body tissues.,Respiration,Breathing,easy,textbook,NCERT Ch6
Which chamber of the human heart receives oxygenated blood from the lungs?,Left atrium,Right atrium,Left ventricle,Right ventricle,A,Pulmonary veins carry oxygenated blood from the lungs into the left atrium of the heart.,Transportation,Blood Circulation,medium,textbook,NCERT Ch6
Why does the human heart need a double circulatory system?,To keep oxygenated and deoxygenated blood from mixing,To pump blood faster,To reduce the number of heartbeats,To supply blood only to the lungs,A,"A double circulation separates oxygen-rich and oxygen-poor blood, allowing more efficient oxygen delivery, which is important in warm-blooded animals.",Transportation,Blood Circulation,hard,textbook,NCERT Ch6
Which blood component is primarily responsible for clotting?,Platelets,Red blood cells,Plasma,White blood cells,A,"Platelets help in blood clotting at the site of an injury, preventing excessive blood loss.",Transportation,Blood Circulation,easy,textbook,NCERT Ch6
Which tissue is responsible for transporting water and minerals from roots to leaves in plants?,Xylem,Phloem,Epidermis,Cambium,A,Xylem forms a continuous network of vessels that conducts water and minerals upward from roots to the rest of the plant.,Transportation,Transport in Plants,easy,textbook,NCERT Ch6
Transport of food (sucrose) from leaves to other parts of a plant occurs through:,Phloem,Xylem,Stomata,Root hairs,A,"Phloem transports the products of photosynthesis, mainly using energy from ATP, in a process called translocation.",Transportation,Transport in Plants,medium,textbook,NCERT Ch6
What is the basic filtration unit of the human kidney called?,Nephron,Neuron,Alveolus,Villus,A,"Each kidney contains millions of nephrons, the structural and functional filtration units that form urine.",Excretion,Human Excretory System,easy,textbook,NCERT Ch6
Which organ stores urine before it is released from the body?,Urinary bladder,Ureter,Kidney,Urethra,A,Urine collected by the kidneys is stored temporarily in the urinary bladder until it is released via the urethra.,Excretion,Human Excretory System,easy,textbook,NCERT Ch6
"In case of kidney failure, which artificial method can filter a person's blood?",Dialysis,Chemotherapy,Transfusion,Endoscopy,A,"Dialysis uses an artificial membrane to remove nitrogenous waste from the blood, mimicking kidney function.",Excretion,Human Excretory System,medium,textbook,NCERT Ch6
How do plants get rid of excess water?,Transpiration through stomata,Excretion through roots only,Storing it permanently in leaves,Converting it into starch,A,Plants lose excess water as water vapour through stomata in a process called transpiration.,Excretion,Excretion in Plants,medium,textbook,NCERT Ch6
